FIPS|Countyname|Postal|LineCode|IndustryName|Real Gross domestic product (GDP) by county|||
||||| (thousands of chained 2012 dollars)|||
1081|Lee|AL|1|All Industries|4668575|5206210|5405859|5980010
1081|Lee|AL|2|  Private goods-producing industries|1106972|1573100|1592090|2048883
1081|Lee|AL|3|  Private services-providing industries|2371808|2450967|2629416|2746448
1081|Lee|AL|4|  Government and government enterprises|1189795|1184258|1187002|1193947
1083|Limestone|AL|1|All Industries|2704953|2862219|2988146|3150965
1083|Limestone|AL|2|  Private goods-producing industries|557918|602237|678771|784408
1083|Limestone|AL|3|  Private services-providing industries|1512480|1640246|1666594|1723682
1083|Limestone|AL|4|  Government and government enterprises|634555|619754|643637|644501
1085|Lowndes|AL|1|All Industries|357630|383814|361485|337731
1085|Lowndes|AL|2|  Private goods-producing industries|233516|261966|242589|220340
1085|Lowndes|AL|3|  Private services-providing industries|85291|84809|83921|82874
1085|Lowndes|AL|4|  Government and government enterprises|38823|37182|35003|34386
1087|Macon|AL|1|All Industries|437454|438399|399303|387698
1087|Macon|AL|2|  Private goods-producing industries|70512|70855|50080|43171
1087|Macon|AL|3|  Private services-providing industries|124548|120377|108558|105323
1087|Macon|AL|4|  Government and government enterprises|242395|247156|240561|239204
1089|Madison|AL|1|All Industries|20870718|20963910|21209589|21398559
1089|Madison|AL|2|  Private goods-producing industries|3367392|3246923|3215431|3068560
1089|Madison|AL|3|  Private services-providing industries|12140810|12392166|12655947|12978947
1089|Madison|AL|4|  Government and government enterprises|5362516|5324751|5338997|5355041
1091|Marengo|AL|1|All Industries|574835|587910|598854|592137
1091|Marengo|AL|2|  Private goods-producing industries|248779|242536|251861|245635
1091|Marengo|AL|3|  Private services-providing industries|222303|247344|255496|257179
1091|Marengo|AL|4|  Government and government enterprises|103752|98243|91708|89666
1093|Marion|AL|1|All Industries|694213|738945|685390|683158
1093|Marion|AL|2|  Private goods-producing industries|289157|326856|278808|277485
1093|Marion|AL|3|  Private services-providing industries|305917|316270|314524|313033
1093|Marion|AL|4|  Government and government enterprises|99139|95658|92317|92878
1095|Marshall|AL|1|All Industries|2576840|2782135|2649827|2686505
1095|Marshall|AL|2|  Private goods-producing industries|909728|1104872|989593|1020722
1095|Marshall|AL|3|  Private services-providing industries|1277830|1297581|1284529|1286095
1095|Marshall|AL|4|  Government and government enterprises|389282|380296|375466|379543
1097|Mobile|AL|1|All Industries|17983867|17594349|17259624|17221153
1097|Mobile|AL|2|  Private goods-producing industries|4739805|4691825|4614999|4355383
1097|Mobile|AL|3|  Private services-providing industries|10997922|10746041|10532905|10758999
1097|Mobile|AL|4|  Government and government enterprises|2246139|2157532|2113097|2096838
1099|Monroe|AL|1|All Industries|623195|550283|583397|688517
1099|Monroe|AL|2|  Private goods-producing industries|241145|177411|183965|187490
1099|Monroe|AL|3|  Private services-providing industries|290964|288270|318295|420356
1099|Monroe|AL|4|  Government and government enterprises|91087|85253|82184|83406
1101|Montgomery|AL|1|All Industries|13104289|13143702|13142737|13439829
1101|Montgomery|AL|2|  Private goods-producing industries|1631294|1976522|1903698|1940373
1101|Montgomery|AL|3|  Private services-providing industries|7887464|7692844|7780673|8062770
1101|Montgomery|AL|4|  Government and government enterprises|3585531|3476426|3460468|3440709
1103|Morgan|AL|1|All Industries|4183977|4275717|4300763|4312042
1103|Morgan|AL|2|  Private goods-producing industries|1601198|1807778|1872844|1857575
1103|Morgan|AL|3|  Private services-providing industries|2070127|1975791|1959368|1990526
1103|Morgan|AL|4|  Government and government enterprises|512652|492996|470112|465690
1105|Perry|AL|1|All Industries|179161|176489|169305|165089
1105|Perry|AL|2|  Private goods-producing industries|76322|69996|(D)|54387
1105|Perry|AL|3|  Private services-providing industries|63272|67904|(D)|73582
1105|Perry|AL|4|  Government and government enterprises|39567|38445|36058|36126
1107|Pickens|AL|1|All Industries|274572|329564|336787|346536
1107|Pickens|AL|2|  Private goods-producing industries|95807|133031|120875|132652
1107|Pickens|AL|3|  Private services-providing industries|122349|117980|123664|121612
1107|Pickens|AL|4|  Government and government enterprises|56416|78282|92105|92487
1109|Pike|AL|1|All Industries|1142083|1132379|1206137|1278942
1109|Pike|AL|2|  Private goods-producing industries|370461|361471|377605|413738
1109|Pike|AL|3|  Private services-providing industries|570229|580233|625495|657198
1109|Pike|AL|4|  Government and government enterprises|201392|190678|202742|209037
1111|Randolph|AL|1|All Industries|335720|367563|339375|340952
1111|Randolph|AL|2|  Private goods-producing industries|111289|147646|131312|130420
1111|Randolph|AL|3|  Private services-providing industries|152078|150754|140627|142418
1111|Randolph|AL|4|  Government and government enterprises|72353|69640|67599|68115
1113|Russell|AL|1|All Industries|1201079|1187457|1327831|1395915
1113|Russell|AL|2|  Private goods-producing industries|432317|438364|583653|645092
1113|Russell|AL|3|  Private services-providing industries|591633|572470|567186|573724
1113|Russell|AL|4|  Government and government enterprises|177128|176507|175556|174795
1115|St. Clair|AL|1|All Industries|1458587|1571339|1568338|1585838
1115|St. Clair|AL|2|  Private goods-producing industries|474813|503509|479744|478107
1115|St. Clair|AL|3|  Private services-providing industries|781229|868718|891387|912378
1115|St. Clair|AL|4|  Government and government enterprises|202545|199258|197534|196058
1117|Shelby|AL|1|All Industries|8391914|8565897|8885097|9735187
1117|Shelby|AL|2|  Private goods-producing industries|923932|1053296|1051550|1165428
1117|Shelby|AL|3|  Private services-providing industries|6881428|6932883|7257622|7974607
1117|Shelby|AL|4|  Government and government enterprises|586553|579680|576861|597070
1119|Sumter|AL|1|All Industries|240325|243873|246068|231168
1119|Sumter|AL|2|  Private goods-producing industries|56550|58271|60248|55603
1119|Sumter|AL|3|  Private services-providing industries|101195|105706|107825|98334
1119|Sumter|AL|4|  Government and government enterprises|82580|79909|78003|77180
1121|Talladega|AL|1|All Industries|2422265|2732987|2699773|2685765
1121|Talladega|AL|2|  Private goods-producing industries|1155173|1427611|1400729|1329639
1121|Talladega|AL|3|  Private services-providing industries|914133|973003|974803|1034860
1121|Talladega|AL|4|  Government and government enterprises|352959|335224|326884|323764
1123|Tallapoosa|AL|1|All Industries|1004256|981983|1034275|1048934
1123|Tallapoosa|AL|2|  Private goods-producing industries|241543|226888|231085|250769
1123|Tallapoosa|AL|3|  Private services-providing industries|625233|621921|672724|669077
1123|Tallapoosa|AL|4|  Government and government enterprises|137480|133169|130570|128936
1125|Tuscaloosa|AL|1|All Industries|10199891|9989993|9330105|9323664
1125|Tuscaloosa|AL|2|  Private goods-producing industries|3983648|4063911|3495321|3447160
1125|Tuscaloosa|AL|3|  Private services-providing industries|4437667|4169721|4061939|4067047
1125|Tuscaloosa|AL|4|  Government and government enterprises|1778575|1761958|1754162|1785397
1127|Walker|AL|1|All Industries|1577706|1599522|1599977|1565304
1127|Walker|AL|2|  Private goods-producing industries|392729|401250|372469|362169
1127|Walker|AL|3|  Private services-providing industries|974893|993482|1028791|1005618
1127|Walker|AL|4|  Government and government enterprises|210083|204919|197587|196134
1129|Washington|AL|1|All Industries|690145|697845|744718|637320
1129|Washington|AL|2|  Private goods-producing industries|439291|464313|511366|412258
1129|Washington|AL|3|  Private services-providing industries|194887|179383|181601|174157
1129|Washington|AL|4|  Government and government enterprises|55966|54210|52046|50869
1131|Wilcox|AL|1|All Industries|296863|298271|314351|318680
1131|Wilcox|AL|2|  Private goods-producing industries|140085|148568|162616|168780
1131|Wilcox|AL|3|  Private services-providing industries|109130|103877|107840|106499
1131|Wilcox|AL|4|  Government and government enterprises|47647|45726|43720|43189
1133|Winston|AL|1|All Industries|484525|512695|481939|490932
1133|Winston|AL|2|  Private goods-producing industries|216467|233568|207085|213176
1133|Winston|AL|3|  Private services-providing industries|194564|207395|207284|209496
1133|Winston|AL|4|  Government and government enterprises|73494|71613|68622|69107
2013|Aleutians East Borough|AK|1|All Industries|111032|133530|133387|164319
2013|Aleutians East Borough|AK|2|  Private goods-producing industries|69349|87665|82984|115807
2013|Aleutians East Borough|AK|3|  Private services-providing industries|20561|25532|28675|27728
2013|Aleutians East Borough|AK|4|  Government and government enterprises|21122|20383|21812|20485
2016|Aleutians West Census Area|AK|1|All Industries|363807|399436|378922|386878
2016|Aleutians West Census Area|AK|2|  Private goods-producing industries|166527|196625|176589|196288
2016|Aleutians West Census Area|AK|3|  Private services-providing industries|149508|156527|155487|145228
2016|Aleutians West Census Area|AK|4|  Government and government enterprises|47772|46327|46926|45396
2020|Anchorage Municipality|AK|1|All Industries|27571441|26135685|25071285|25548523
2020|Anchorage Municipality|AK|2|  Private goods-producing industries|8312936|7201060|6287708|6549358
2020|Anchorage Municipality|AK|3|  Private services-providing industries|14758020|14617142|14496128|14831340
2020|Anchorage Municipality|AK|4|  Government and government enterprises|4500485|4331940|4314401|4214996
2050|Bethel Census Area|AK|1|All Industries|699678|674796|656391|640556
2050|Bethel Census Area|AK|2|  Private goods-producing industries|25683|41657|33699|46640
2050|Bethel Census Area|AK|3|  Private services-providing industries|450469|423246|406002|378440
2050|Bethel Census Area|AK|4|  Government and government enterprises|223526|210301|216368|216179
2060|Bristol Bay Borough|AK|1|All Industries|104109|115158|109022|104246
2060|Bristol Bay Borough|AK|2|  Private goods-producing industries|39126|44433|43155|43041
2060|Bristol Bay Borough|AK|3|  Private services-providing industries|40665|47960|42515|39268
2060|Bristol Bay Borough|AK|4|  Government and government enterprises|24318|22782|23365|21913
2068|Denali Borough|AK|1|All Industries|254910|232016|234118|217615
2068|Denali Borough|AK|2|  Private goods-producing industries|100804|88862|88545|71392
2068|Denali Borough|AK|3|  Private services-providing industries|115321|105834|108077|107442
2068|Denali Borough|AK|4|  Government and government enterprises|38785|37164|37183|36274
2070|Dillingham Census Area|AK|1|All Industries|224497|237621|244880|236493
2070|Dillingham Census Area|AK|2|  Private goods-producing industries|37812|40007|38961|50139
2070|Dillingham Census Area|AK|3|  Private services-providing industries|131651|144468|149496|132096
2070|Dillingham Census Area|AK|4|  Government and government enterprises|55034|53185|56449|53862
2090|Fairbanks North Star Borough|AK|1|All Industries|5489188|5467710|5649698|5675709
2090|Fairbanks North Star Borough|AK|2|  Private goods-producing industries|952516|956668|1071617|975288
2090|Fairbanks North Star Borough|AK|3|  Private services-providing industries|2565890|2673717|2771827|2842352
2090|Fairbanks North Star Borough|AK|4|  Government and government enterprises|1970781|1837225|1812365|1852948
2100|Haines Borough|AK|1|All Industries|64685|71862|71322|69321
2100|Haines Borough|AK|2|  Private goods-producing industries|14909|17439|14524|16986
2100|Haines Borough|AK|3|  Private services-providing industries|33450|38351|41069|37115
2100|Haines Borough|AK|4|  Government and government enterprises|16326|16087|15792|15183
2105|Hoonah-Angoon Census Area|AK|1|All Industries|54407|60500|59461|69987
2105|Hoonah-Angoon Census Area|AK|2|  Private goods-producing industries|3750|6260|5893|12631
2105|Hoonah-Angoon Census Area|AK|3|  Private services-providing industries|22248|27373|25747|25656
2105|Hoonah-Angoon Census Area|AK|4|  Government and government enterprises|28409|27150|27446|27640
2110|Juneau City and Borough|AK|1|All Industries|2279424|2266269|2293619|2220596
2110|Juneau City and Borough|AK|2|  Private goods-producing industries|625967|640706|632541|574564
2110|Juneau City and Borough|AK|3|  Private services-providing industries|860735|861723|886668|883739
2110|Juneau City and Borough|AK|4|  Government and government enterprises|792722|764724|773755|755884
2122|Kenai Peninsula Borough|AK|1|All Industries|3140724|3375189|3316261|3317994
2122|Kenai Peninsula Borough|AK|2|  Private goods-producing industries|1380901|1462805|1410278|1496961
2122|Kenai Peninsula Borough|AK|3|  Private services-providing industries|1292387|1456285|1429179|1360045
2122|Kenai Peninsula Borough|AK|4|  Government and government enterprises|467436|456616|476582|473777
2130|Ketchikan Gateway Borough|AK|1|All Industries|802339|747975|751924|758517
2130|Ketchikan Gateway Borough|AK|2|  Private goods-producing industries|164562|131048|120195|130861
2130|Ketchikan Gateway Borough|AK|3|  Private services-providing industries|413331|402666|413952|411971
2130|Ketchikan Gateway Borough|AK|4|  Government and government enterprises|224447|214404|218193|215783
2150|Kodiak Island Borough|AK|1|All Industries|741748|780404|808878|827596
2150|Kodiak Island Borough|AK|2|  Private goods-producing industries|241094|256835|265188|312234
2150|Kodiak Island Borough|AK|3|  Private services-providing industries|270840|301687|328616|310888
2150|Kodiak Island Borough|AK|4|  Government and government enterprises|229814|221883|215147|203174
2158|Kusilvak Census Area|AK|1|All Industries|127397|123478|128853|122856
2158|Kusilvak Census Area|AK|2|  Private goods-producing industries|5463|5085|5669|6262
2158|Kusilvak Census Area|AK|3|  Private services-providing industries|36799|38374|34666|29851
2158|Kusilvak Census Area|AK|4|  Government and government enterprises|85135|80052|88384|86471
2164|Lake and Peninsula Borough|AK|1|All Industries|68147|70349|71291|73772
2164|Lake and Peninsula Borough|AK|2|  Private goods-producing industries|14504|13196|12521|14753
2164|Lake and Peninsula Borough|AK|3|  Private services-providing industries|24938|31677|32821|31500
2164|Lake and Peninsula Borough|AK|4|  Government and government enterprises|28705|25519|26008|27543
2170|Matanuska-Susitna Borough|AK|1|All Industries|2233060|2209831|2284002|2356921
2170|Matanuska-Susitna Borough|AK|2|  Private goods-producing industries|347993|316283|310071|356064
2170|Matanuska-Susitna Borough|AK|3|  Private services-providing industries|1454629|1460394|1506854|1523131
2170|Matanuska-Susitna Borough|AK|4|  Government and government enterprises|430439|433382|467495|476290
2180|Nome Census Area|AK|1|All Industries|402931|395458|405640|389845
2180|Nome Census Area|AK|2|  Private goods-producing industries|53936|50863|54361|60124
2180|Nome Census Area|AK|3|  Private services-providing industries|208526|210735|211978|194498
2180|Nome Census Area|AK|4|  Government and government enterprises|140469|133877|139357|135927
2185|North Slope Borough|AK|1|All Industries|8920976|7251453|6596616|6516645
2185|North Slope Borough|AK|2|  Private goods-producing industries|8000241|6378976|5723990|5583668
2185|North Slope Borough|AK|3|  Private services-providing industries|725815|685733|673159|707248
2185|North Slope Borough|AK|4|  Government and government enterprises|194919|188349|200861|201071
2188|Northwest Arctic Borough|AK|1|All Industries|628118|667707|659604|594456
2188|Northwest Arctic Borough|AK|2|  Private goods-producing industries|380761|405635|402399|339631
2188|Northwest Arctic Borough|AK|3|  Private services-providing industries|165346|180811|170642|163592
2188|Northwest Arctic Borough|AK|4|  Government and government enterprises|82012|81388|86721|86687
2195|Petersburg Borough|AK|1|All Industries|146199|131078|134911|171559
